Hero,pick_1k,win_1k,pick_2k,win_2k,pick_3k,win_3k,pick_4k,win_4k,pick_5k,win_5k
Pudge,33.99,51.94,35.27,51.55,34.73,51.33,31.93,50.03,19.1,47.3
Sniper,28.17,51.66,19.68,51.99,14.11,51.6,10.28,48.52,5.67,46.52
Drow Ranger,27.34,52.92,24.71,56.32,23.1,57.95,22.01,56.95,20.2,55.67
Lion,27.11,47.5,26.57,47.5,26.32,47.88,25.32,48.65,19.82,48.68
Phantom Assassin,24.07,48.65,19.38,47.22,16.33,46.89,13.48,46.59,9.04,44.16
Juggernaut,20.59,50.6,22.44,51.36,22.94,51.77,23.58,51.13,22.23,48.75
Windranger,20.21,52.41,18.55,53.04,18.58,52.91,19.46,52.84,15.13,50.37
Legion Commander,17.11,50.97,13.01,49.66,10.52,48.95,8.81,48.49,8.05,47.71
Crystal Maiden,16,56.94,15.31,55.53,14,54.5,12.67,52.95,9.6,52.41
Monkey King,15.74,49.78,15.66,50.58,17.18,50.78,20.13,50.88,21.29,51.89
Wraith King,15.45,57.53,13.78,56.61,12.73,55.08,12.88,53.95,14.39,52.65
Shadow Shaman,14.87,52.47,14.16,51.68,14.28,51.9,15.89,51.97,18.62,51.7
Invoker,14.56,43.64,16.96,45.53,17.96,45.82,17.28,47.02,10.03,46.3
Earthshaker,14.48,50.08,16.87,51.25,18.73,50.37,21.52,50.11,21.86,48.98
Bounty Hunter,14.33,50.32,11.21,51.46,11.28,52.38,12.1,52.41,12.75,51.76
Bristleback,14.01,53.38,9.14,50.61,6.71,47.7,4.8,46.72,2.76,44.9
Axe,13.68,48.51,11.39,48.5,9.8,48.49,7.94,47.43,5.17,44.89
Riki,13.16,52.39,9.33,52.79,7.64,51.65,6.86,51.66,4.59,49.46
Viper,12.92,54.14,11.59,53.83,10.27,55.66,8.72,53.59,5.44,51.06
Bloodseeker,12.66,55.29,8.34,54.32,6.32,54.82,5.56,53.73,4.79,52.94
Dazzle,12.36,56.22,13.4,54.24,12.49,53.86,11.18,51.77,7.34,50.71
Ogre Magi,12.24,53.23,13.6,52.87,12.38,51,10.6,50.81,6.25,49.11
Necrophos,12.16,54.38,12.35,54.37,12.04,55.2,11.69,53.9,11.01,54.16
