0,
1,Pudge
2,33.99%
3,51.94%
4,35.27%
5,51.55%
6,34.73%
7,51.33%
8,31.93%
9,50.03%
10,19.10%
11,47.30%
12,
13,Sniper
14,28.17%
15,51.66%
16,19.68%
17,51.99%
18,14.11%
19,51.60%
20,10.28%
21,48.52%
22,5.67%
23,46.52%
24,
25,Drow Ranger
26,27.34%
27,52.92%
28,24.71%
29,56.32%
30,23.10%
31,57.95%
32,22.01%
33,56.95%
34,20.20%
35,55.67%
36,
37,Lion
38,27.11%
39,47.50%
40,26.57%
41,47.50%
42,26.32%
43,47.88%
44,25.32%
45,48.65%
46,19.82%
47,48.68%
48,
49,Phantom Assassin
50,24.07%
51,48.65%
52,19.38%
53,47.22%
54,16.33%
55,46.89%
56,13.48%
57,46.59%
58,9.04%
59,44.16%
60,
61,Juggernaut
62,20.59%
63,50.60%
64,22.44%
65,51.36%
66,22.94%
67,51.77%
68,23.58%
69,51.13%
70,22.23%
71,48.75%
72,
73,Windranger
74,20.21%
75,52.41%
76,18.55%
77,53.04%
78,18.58%
79,52.91%
80,19.46%
81,52.84%
82,15.13%
83,50.37%
84,
85,Legion Commander
86,17.11%
87,50.97%
88,13.01%
89,49.66%
90,10.52%
91,48.95%
92,8.81%
93,48.49%
94,8.05%
95,47.71%
96,
97,Crystal Maiden
98,16.00%
99,56.94%
100,15.31%
101,55.53%
102,14.00%
103,54.50%
104,12.67%
105,52.95%
106,9.60%
107,52.41%
108,
109,Monkey King
110,15.74%
111,49.78%
112,15.66%
113,50.58%
114,17.18%
115,50.78%
116,20.13%
117,50.88%
118,21.29%
119,51.89%
120,
121,Wraith King
122,15.45%
123,57.53%
124,13.78%
125,56.61%
126,12.73%
127,55.08%
128,12.88%
129,53.95%
130,14.39%
131,52.65%
132,
133,Shadow Shaman
134,14.87%
135,52.47%
136,14.16%
137,51.68%
138,14.28%
139,51.90%
140,15.89%
141,51.97%
142,18.62%
143,51.70%
144,
145,Invoker
146,14.56%
147,43.64%
148,16.96%
149,45.53%
150,17.96%
151,45.82%
152,17.28%
153,47.02%
154,10.03%
155,46.30%
156,
157,Earthshaker
158,14.48%
159,50.08%
160,16.87%
161,51.25%
162,18.73%
163,50.37%
164,21.52%
165,50.11%
166,21.86%
167,48.98%
168,
169,Bounty Hunter
170,14.33%
171,50.32%
172,11.21%
173,51.46%
174,11.28%
175,52.38%
176,12.10%
177,52.41%
178,12.75%
179,51.76%
180,
181,Bristleback
182,14.01%
183,53.38%
184,9.14%
185,50.61%
186,6.71%
187,47.70%
188,4.80%
189,46.72%
190,2.76%
191,44.90%
192,
193,Axe
194,13.68%
195,48.51%
196,11.39%
197,48.50%
198,9.80%
199,48.49%
200,7.94%
201,47.43%
202,5.17%
203,44.89%
204,
205,Riki
206,13.16%
207,52.39%
208,9.33%
209,52.79%
210,7.64%
211,51.65%
212,6.86%
213,51.66%
214,4.59%
215,49.46%
216,
217,Viper
218,12.92%
219,54.14%
220,11.59%
221,53.83%
222,10.27%
223,55.66%
224,8.72%
225,53.59%
226,5.44%
227,51.06%
228,
229,Bloodseeker
230,12.66%
231,55.29%
232,8.34%
233,54.32%
234,6.32%
235,54.82%
236,5.56%
237,53.73%
238,4.79%
239,52.94%
240,
241,Dazzle
242,12.36%
243,56.22%
244,13.40%
245,54.24%
246,12.49%
247,53.86%
248,11.18%
249,51.77%
250,7.34%
251,50.71%
252,
253,Ogre Magi
254,12.24%
255,53.23%
256,13.60%
257,52.87%
258,12.38%
259,51.00%
260,10.60%
261,50.81%
262,6.25%
263,49.11%
264,
265,Necrophos
266,12.16%
267,54.38%
268,12.35%
269,54.37%
270,12.04%
271,55.20%
272,11.69%
273,53.90%
274,11.01%
275,54.16%
276,
277,Witch Doctor
278,12.12%
279,51.59%
280,12.80%
281,52.05%
282,12.20%
283,51.18%
284,11.04%
285,49.65%
286,8.15%
287,48.32%
288,
289,Nature's Prophet
290,11.79%
291,47.87%
292,10.80%
293,44.66%
294,10.28%
295,43.36%
296,9.93%
297,46.70%
298,10.96%
299,48.63%
300,
301,Skywrath Mage
302,11.44%
303,52.54%
304,10.46%
305,53.02%
306,9.91%
307,51.87%
308,10.10%
309,51.50%
310,8.71%
311,49.78%
312,
313,Ursa
314,11.43%
315,53.38%
316,10.18%
317,54.34%
318,10.35%
319,53.86%
320,11.33%
321,52.49%
322,13.05%
323,51.13%
324,
325,Anti-Mage
326,11.33%
327,43.00%
328,12.16%
329,44.96%
330,11.92%
331,46.89%
332,11.61%
333,48.70%
334,11.13%
335,47.89%
336,
337,Faceless Void
338,10.92%
339,44.83%
340,10.48%
341,46.22%
342,8.85%
343,46.91%
344,7.16%
345,47.69%
346,4.20%
347,48.10%
348,
349,Sven
350,10.85%
351,49.64%
352,9.48%
353,51.39%
354,8.94%
355,51.60%
356,9.14%
357,50.85%
358,11.24%
359,51.68%
360,
361,Spirit Breaker
362,10.79%
363,52.87%
364,8.70%
365,50.08%
366,7.46%
367,51.43%
368,6.74%
369,50.84%
370,6.75%
371,52.95%
372,
373,Morphling
374,10.77%
375,48.39%
376,12.24%
377,46.66%
378,13.42%
379,45.38%
380,14.68%
381,45.53%
382,18.12%
383,46.36%
384,
385,Slark
386,10.50%
387,46.81%
388,9.81%
389,47.87%
390,8.69%
391,48.75%
392,7.66%
393,49.49%
394,5.70%
395,49.73%
396,
397,Kunkka
398,10.48%
399,50.77%
400,10.61%
401,50.58%
402,10.27%
403,51.19%
404,9.25%
405,50.70%
406,7.64%
407,49.68%
408,
409,Chaos Knight
410,10.21%
411,54.44%
412,8.01%
413,55.80%
414,6.15%
415,54.54%
416,4.86%
417,52.10%
418,3.15%
419,48.89%
420,
421,Zeus
422,9.80%
423,49.85%
424,8.75%
425,50.82%
426,8.09%
427,49.04%
428,7.27%
429,49.58%
430,4.41%
431,48.00%
432,
433,Alchemist
434,9.60%
435,47.32%
436,10.22%
437,48.31%
438,9.49%
439,48.91%
440,7.97%
441,48.46%
442,5.43%
443,48.23%
444,
445,Lina
446,9.52%
447,45.65%
448,8.80%
449,46.74%
450,9.24%
451,47.91%
452,10.52%
453,47.35%
454,15.90%
455,49.22%
456,
457,Storm Spirit
458,9.48%
459,44.25%
460,10.39%
461,45.70%
462,11.07%
463,46.72%
464,12.27%
465,48.57%
466,14.37%
467,49.31%
468,
469,Silencer
470,9.19%
471,53.61%
472,9.31%
473,52.47%
474,8.65%
475,52.19%
476,7.92%
477,52.19%
478,6.33%
479,49.90%
480,
481,Troll Warlord
482,8.95%
483,49.66%
484,7.07%
485,50.05%
486,6.94%
487,48.83%
488,7.86%
489,47.76%
490,11.85%
491,47.59%
492,
493,Slardar
494,8.70%
495,49.33%
496,8.22%
497,48.85%
498,7.51%
499,48.73%
500,7.04%
501,48.94%
502,5.96%
503,49.67%
504,
505,Mars
506,8.56%
507,49.31%
508,9.72%
509,51.21%
510,11.98%
511,51.83%
512,15.58%
513,53.16%
514,21.10%
515,51.78%
516,
517,Shadow Fiend
518,8.47%
519,48.04%
520,9.35%
521,46.78%
522,9.69%
523,46.91%
524,9.56%
525,45.69%
526,8.64%
527,45.30%
528,
529,Techies
530,8.37%
531,49.04%
532,8.26%
533,45.02%
534,8.89%
535,43.24%
536,8.14%
537,44.63%
538,6.05%
539,44.86%
540,
541,Lifestealer
542,8.23%
543,47.78%
544,9.21%
545,48.24%
546,9.68%
547,50.54%
548,10.54%
549,50.43%
550,12.40%
551,48.85%
552,
553,Mirana
554,8.21%
555,49.38%
556,10.49%
557,48.79%
558,10.83%
559,50.34%
560,9.76%
561,49.52%
562,5.28%
563,49.04%
564,
565,Dragon Knight
566,8.18%
567,48.81%
568,7.26%
569,46.59%
570,5.68%
571,46.61%
572,4.16%
573,45.63%
574,2.51%
575,44.32%
576,
577,Medusa
578,8.13%
579,48.46%
580,8.41%
581,46.93%
582,7.67%
583,47.05%
584,6.55%
585,47.15%
586,5.12%
587,44.92%
588,
589,Rubick
590,7.85%
591,45.34%
592,10.81%
593,45.97%
594,13.81%
595,46.86%
596,15.77%
597,46.43%
598,16.68%
599,48.43%
600,
601,Clinkz
602,7.82%
603,48.78%
604,6.94%
605,49.94%
606,6.62%
607,53.35%
608,6.73%
609,53.72%
610,5.52%
611,53.53%
612,
613,Jakiro
614,7.67%
615,56.18%
616,8.83%
617,52.90%
618,9.97%
619,53.45%
620,10.92%
621,51.97%
622,11.82%
623,51.28%
624,
625,Huskar
626,7.63%
627,49.30%
628,5.44%
629,49.87%
